,Movie_Titles,genres,Cast
0,Citizen Kane,"['Drama', 'Mystery']","['Dorothy Comingore', 'Erskine Sanford', 'Georgia Backus', 'Ray Collins', 'George Coulouris', 'Orson Welles', 'Harry Shannon', 'Joseph Cotten', 'Everett Sloane', 'William Alland', 'Philip Van Zandt', 'Gus Schilling', 'Fortunio Bonanova', 'Ruth Warrick', 'Paul Stewart', 'Agnes Moorehead']"
1,The Godfather,"['Drama', 'Thriller', 'Crime']","['Abe Vigoda', 'Marlon Brando', 'James Caan', 'Robert Duvall', 'Al Lettieri', 'John Marley', 'Richard S. Castellano', 'Gianni Russo', 'Talia Shire', 'Rudy Bond', 'Richard Conte', 'John Cazale', 'Al Pacino', 'Sterling Hayden', 'Diane Keaton']"
2,Rear Window,"['Mystery', 'Thriller']","['Judith Evelyn', 'Havis Davenport', 'Thelma Ritter', 'Wendell Corey', 'Grace Kelly', 'Rand Harper', 'Georgine Darcy', 'Irene Winston', 'Ross Bagdasarian', 'Jesslyn Fax', 'Raymond Burr', 'Sara Berner', 'Jerry Antes', 'Frank Cady', 'James Stewart']"
3,Casablanca,"['Drama', 'Romance', 'War']","['Joy Page', 'Sydney Greenstreet', 'Ingrid Bergman', 'Humphrey Bogart', 'Peter Lorre', 'S.Z. Sakall', 'Enrique Acosta', 'Leonid Kinskey', 'Claude Rains', 'Conrad Veidt', 'John Qualen', 'Paul Henreid', 'Curt Bois', 'Dooley Wilson', 'Madeleine Lebeau']"
4,Boyhood,['Drama'],"['David Blackwell', 'Nick Krause', 'Mark Finn', 'Evie Thompson', 'Sam Dillon', 'Brad Hawkins', 'Libby Villari', 'Tess Allen', 'Natalie Wilemon', 'Andrew Villarreal', 'Patricia Arquette', 'Ethan Hawke', 'Zoe Graham', 'Lorelei Linklater', 'Megan Devine', 'Bonnie Cross', 'Jonathan Bell', 'Sharee Fowler', 'Jamie Howard', 'Tamara Jolaine', 'Mona Lee Fultz', 'Deanna Brochin', 'Marco Perella', 'Jordan Howard', 'Cassidy Johnson', 'Steven Chester Prince', 'Greg Baglia', 'Sydney Orta', 'Alyssa Petersen', 'Ryan Power', 'Andrea Chen', 'Ellar Coltrane', 'Angela Rawna', 'Savannah Welch', 'Derek Chase Hickey', 'Shane Graham', 'Elijah Smith']"
5,Three Colors: Red,"['Drama', 'Mystery', 'Romance']","['Teco Celio', 'Jean-Louis Trintignant', 'Roland Carey', 'Irène Jacob', 'Elzbieta Jasinska', 'Leo Ramseyer', 'Paul Vermeulen', 'Jean-Pierre Lorit', 'Jean-Marie Daunas', 'Frédérique Feder', 'Jean Schlegel', 'Bernard Escalon', 'Samuel Le Bihan', 'Brigitte Raul', 'Marion Stalens']"
6,Vertigo,"['Mystery', 'Thriller', 'Romance']","['David Ahdar', 'John Benson', 'Raymond Bailey', 'Jack Ano', 'James Stewart', 'Konstantin Shayne', 'Margaret Bacon', 'Isabel Analla', 'Ellen Corby', 'Kim Novak', 'Lee Patrick', 'Henry Jones', 'Danny Borzage', 'Barbara Bel Geddes', 'Tom Helmore']"
7,Notorious,"['Drama', 'Thriller', 'Romance', 'Film-Noir']","['E.A. Krumschmidt', 'Louis Calhern', 'Ingrid Bergman', 'Ivan Triesault', 'Leopoldine Konstantin', 'Fay Baker', 'Ricardo Costa', 'Charles Mendl', 'Moroni Olsen', 'Claude Rains', 'Alexis Minotis', 'Bernice Barrett', 'Wally Brown', 'Reinhold Schünzel', 'Cary Grant']"
8,Singin' in the Rain,"['Comedy', 'Romance', 'Musical']","['Betty Allen', 'Jimmy Bates', 'Debbie Reynolds', ""Donald O'Connor"", 'Sue Allen', 'Jean Hagen', 'Millard Mitchell', 'Cyd Charisse', 'Gene Kelly', 'Rita Moreno', 'Dawn Addams', 'Douglas Fowley', 'Bette Arlen', 'John Albright', 'Marie Ardell']"
9,City Lights,"['Drama', 'Comedy', 'Romance']","['Florence Lee', 'Henry Bergman', 'T.S. Alexander', 'Jack Alexander', 'Victor Alexander', 'Eddie Baker', 'Hank Mann', 'Harry Myers', 'Albert Austin', 'Buster Brodie', 'Virginia Cherrill', 'Al Ernest Garcia', 'Charles Chaplin', 'Harry Ayers', 'Betty Blair']"
10,Moonlight,['Drama'],"['Trevante Rhodes', 'Jaden Piner', ""Duan 'Sandy' Sanderson"", 'Rudi Goblin', 'Stephon Bron', 'Tanisha Cidel', 'Kamal Ani-Bellow', ""Duan'Sandy' Sanderson"", 'Janelle Monáe', 'Larry Anderson', 'Ashton Sanders', 'Patrick Decile', 'Edson Jean', 'Keomi Givens', 'Shariff Earp', 'Mahershala Ali', 'Andre Holland', 'Rudi Goblen', 'Jharrel Jerome', 'Eddie Blanchard', 'Alex R. Hibbert', 'Duan Sanderson', ""Herman 'Caheei McGloun"", 'Naomie Harris']"
11,Intolerance,"['Drama', 'History']","['Lillian Gish', 'Taylor N. Duncan', 'Josephine Crowell', 'Mary Alden', 'Monte Blue', 'Spottiswoode Aitken', 'Lucille Browne', 'Dore Davidson', 'Miriam Cooper', 'William H. Brown', 'Pearl Elmore', 'Frank Bennett', 'Elmer Clifton', 'Edward Dillon', 'Sam De Grasse']"
12,Pinocchio,"['Fantasy', 'Comedy', 'Animation', 'Family', 'Musical']","['Dickie Jones', 'Marion Darlington', 'John McLeish', 'Walter Catlett', 'Jack Mercer', 'Clarence Nash', 'Mel Blanc', 'Mae Questel', 'Cliff Edwards', 'Don Brodie', 'Frankie Darro', 'Patricia Page', 'Thurl Ravenscroft', 'Charles Judels', 'Stuart Buchanan']"
13,Touch of Evil,"['Drama', 'Thriller', 'Crime', 'Film-Noir']","['Dennis Weaver', 'Janet Leigh', 'Ray Collins', 'Valentin de Vargas', 'Orson Welles', 'Joanna Moore', 'Phil Harvey', 'Akim Tamiroff', 'Lalo Rios', 'Mort Mills', 'Victor Millan', 'Joi Lansing', 'Joseph Calleia', 'Charlton Heston', 'Michael Sargent']"
14,The Lady Vanishes,"['Mystery', 'Thriller']","['Mary Clare', 'Cecil Parker', 'Naunton Wayne', 'Margaret Lockwood', 'Sally Stewart', 'Philip Leaver', 'Googie Withers', 'Dame May Whitty', 'Paul Lukas', 'Selma Vaz Dias', 'Emile Boreo', 'Catherine Lacey', 'Basil Radford', 'Michael Redgrave', 'Linden Travers']"
15,The Treasure of the Sierra Madre,"['Adventure', 'Drama', 'Western']","['Tim Holt', 'Spencer Chan', 'José Torvay', 'Guillermo Calles', 'Margarito Luna', 'Walter Huston', 'Arturo Soto Rangel', 'Barton MacLane', 'Humphrey Bogart', 'Robert Blake', 'Jacqueline Dalya', 'Alfonso Bedoya', 'Manuel Dondé', 'Bruce Bennett', 'Roberto Cañedo']"
16,Pan's Labyrinth,"['Drama', 'Mystery', 'Thriller', 'Fantasy', 'War']","['Ivana Baquero', 'Francisco Vidal', 'Ivan Massagué', 'Juanjo Cucalón', 'Álex Angulo', 'Roger Casamajor', 'Ariadna Gil', 'Lina Mira', 'Gonzalo Uriarte', 'Maribel Verdú', 'Sergi López', 'César Vea', 'Eusebio Lázaro', 'Manolo Solo', 'Doug Jones']"
17,Some Like It Hot,"['Comedy', 'Romance']","['Marilyn Monroe', 'Tony Curtis', 'Joan Shawlee', 'Barbara Drew', ""Pat O'Brien"", 'Jack Lemmon', 'George Raft', 'Billy Gray', 'Mike Mazurki', 'Harry Wilson', 'Beverly Wills', 'Dave Barry', 'George E. Stone', 'Nehemiah Persoff', 'Joe E. Brown']"
18,North by Northwest,"['Action', 'Adventure', 'Mystery', 'Thriller']","['Edward Platt', 'Philip Coolidge', 'Les Tremayne', 'Leo G. Carroll', 'Edward Binns', 'Josephine Hutchinson', 'Eva Marie Saint', 'Martin Landau', 'Adam Williams', 'James Mason', 'Robert Ellenstein', 'Jessie Royce Landis', 'Cary Grant', 'Philip Ober', 'Patrick McVey']"
19,Hoop Dreams,"['Drama', 'Sport', 'Documentary']","['Luther Bedford', ""Arthur 'Bo' Agee"", 'Sheila Agee', 'William Gates', 'Curtis Gates', 'Bill Gleason', 'Marlyn Hopewell', 'Arthur Agee', 'Emma Gates', 'Patricia Weir', 'Earl Smith', 'Isiah Thomas', 'Marjorie Heard', 'Aretha Mitchell', 'Gene Pingatore']"
20,Rashomon,"['Drama', 'Mystery', 'Crime']","['Machiko Kyô', 'Noriko Honma', 'Daisuke Katô', 'Kichijir', 'Takashi Shimura', 'Minoru Chiaki', 'Masayuki Mori', 'Toshirô Mifune', 'Leslie Daniels']"
21,All About Eve,['Drama'],"['Gregory Ratoff', 'Hugh Marlowe', 'Barbara White', 'Thelma Ritter', 'Leland Harris', 'Bette Davis', 'Walter Hampden', 'Barbara Bates', 'Gary Merrill', 'Celeste Holm', 'Craig Hill', 'Anne Baxter', 'Marilyn Monroe', 'Randy Stuart', 'George Sanders']"
22,Jules and Jim,"['Drama', 'Romance']","['Anny Nelsen', 'Michel Subor', 'Dominique Lacarrière', 'Marie Dubois', 'Pierre Fabre', 'Vanna Urbino', 'Danielle Bassiak', 'Serge Rezvani', 'Oskar Werner', 'Bernard Largemain', 'Sabine Haudepin', 'Henri Serre', 'Elen Bober', 'Jeanne Moreau', 'Kate Noelle']"
23,The Wild Bunch,"['Action', 'Adventure', 'Western']","['Strother Martin', 'Dub Taylor', 'Jorge Russek', ""Edmond O'Brien"", 'Emilio Fernández', 'Ernest Borgnine', 'Albert Dekker', 'Paul Harper', 'Ben Johnson', 'William Holden', 'Warren Oates', 'L.Q. Jones', 'Jaime Sanchez', 'Bo Hopkins', 'Robert Ryan']"
24,My Left Foot,"['Biography', 'Drama']","['Eanna MacLiam', 'Brenda Fricker', 'Ruth McCabe', 'Alison Whelan', 'Phelim Drew', 'Daniel Day-Lewis', 'Derry Power', 'Kirsten Sheridan', 'Cyril Cusack', 'Fiona Shaw', ""Hugh O'Conor"", 'Declan Croghan', 'Ray McAnally', 'Pat Laffan', 'Marie Conmee']"
25,The Third Man,"['Mystery', 'Thriller', 'Film-Noir']","['Alida Valli', 'Erich Ponto', 'Paul Hörbiger', 'Trevor Howard', 'Wilfrid Hyde-White', 'Harry Belcher', 'Harold Ayer', 'Orson Welles', 'Joseph Cotten', 'Ernst Deutsch', 'Jack Arrow', 'Siegfried Breuer', 'Nelly Arno', 'Hedwig Bleibtreu', 'Bernard Lee']"
